Sentences,Category
Bisakah Anda membantu saya menyetrika pakaian saya?,3
Apakah Anda bisa menyediakan layanan menyetrika pakaian?,3
"Saya membutuhkan bantuan dalam menyetrika beberapa pakaian, apakah Anda bisa membantu?",3
Dapatkah Anda melakukan pekerjaan menyetrika untuk saya?,3
"Saya sedang mencari seseorang yang bisa menyetrika baju saya, apakah Anda tersedia?",3
Bisakah Anda melakukan pekerjaan menyetrika dengan baik?,3
"Saya butuh jasa menyetrika, apakah Anda memiliki pengalaman dalam hal ini?",3
Dapatkah Anda membantu saya menyetrika pakaian untuk acara penting?,3
Apakah Anda menerima pekerjaan menyetrika pakaian?,3
"Saya ingin menyewa jasa Anda untuk menyetrika beberapa pakaian, apakah Anda bersedia?",3
Dapatkah Anda memberikan layanan menyetrika untuk pakaian saya?,3
Bisakah Anda menawarkan layanan menyetrika yang cepat dan andal?,3
"Saya memerlukan bantuan dalam menyetrika pakaian sebelum tanggal tertentu, apakah Anda bisa membantu?",3
Apakah Anda bisa datang dan menyetrika pakaian di tempat saya?,3
"Saya butuh seseorang yang dapat menyetrika pakaian dengan cermat, apakah Anda bisa melakukannya?",3
Bisakah Anda membantu saya menyetrika pakaian berbahan khusus?,3
"Saya sedang mencari jasa menyetrika untuk membantu saya menyelesaikan tumpukan pakaian, apakah Anda bisa membantu?",3
Dapatkah Anda memberikan estimasi harga untuk layanan menyetrika pakaian?,3
Apakah Anda memiliki waktu untuk membantu menyetrika pakaian saya minggu ini?,3
"Saya ingin menyewa jasa Anda untuk menyetrika pakaian secara berkala, apakah Anda tersedia untuk kontrak jangka panjang?",3
Bisakah Anda menyetrika pakaian dengan hasil yang rapi dan terawat?,3
Apakah Anda memiliki kebijakan pengembalian jika ada pakaian yang tidak ditangani dengan baik?,3
"Saya membutuhkan bantuan dengan menyetrika pakaian saya yang menumpuk, apakah Anda bisa membantu dalam waktu singkat?",3
Dapatkah Anda menjemput dan mengantar kembali pakaian yang sudah disetrika?,3
"Saya ingin memastikan bahwa pakaian saya disetrika dengan hati-hati, apakah Anda dapat menjamin itu?",3
Bisakah Anda menawarkan layanan menyetrika dengan harga yang terjangkau?,3
"Saya butuh seseorang yang dapat menyetrika pakaian saya secara teratur, apakah Anda bisa memberikan layanan itu?",3
Dapatkah Anda menyetrika pakaian dalam jumlah besar dalam waktu singkat?,3
"Saya memerlukan bantuan dalam menyetrika pakaian untuk keluarga saya, apakah Anda menerima pekerjaan seperti itu?",3
Bisakah Anda membantu saya menyetrika pakaian?,3
Bisakah Anda menyetrika pakaian? Saya ingin Anda membantu saya menyetrika pakaian saya. Bisakah kamu membantuku?,3
Bisakah Anda menyetrika untuk saya?,3
Saya mencari seseorang untuk menyetrika pakaian saya?,3
Apakah kamu pandai menyetrika?,3
Diperlukan layanan menyetrika. Apakah anda punya pengalaman dengan hal ini?,3
Bisakah anda membantu saya menyetrika untuk acara penting?,3
Bisakah anda menerima pesanan setrika pakaian?,3
Saya ingin meminta agar pakaian saya disetrika. Apakah kamu siap?,3
Bisakah anda memberikan layanan menyetrika pakaian saya?,3
Bisakah Anda memberikan layanan menyetrika yang cepat dan terpercaya?,3
Saya memerlukan bantuan untuk menyetrika pakaian saya pada tanggal tertentu. Bisakah kamu membantuku?,3
Bisakah kamu datang dan menyetrika pakaianku?,3
Kami membutuhkan seseorang yang bisa menyetrika dengan hati-hati. Apakah kamu bisa melakukan ini?,3
Bisakah anda membantu saya menyetrika pakaian yang terbuat dari bahan khusus?,3
Saya sedang mencari jasa setrika untuk membantu saya menata tumpukan pakaian saya. Bisakah kamu membantuku?,3
Bisakah Anda memberi saya penawaran untuk menyetrika pakaian saya?,3
Apakah Anda punya waktu minggu ini untuk membantu saya menyetrika pakaian saya?,3
Saya ingin menggunakan jasa Anda untuk menyetrika pakaian saya secara rutin. Apakah kontrak jangka panjang mungkin?,3
Bisakah Anda menyetrika pakaian dengan bersih?,3
Apakah ada kebijakan pengembalian jika pakaian tidak ditangani dengan benar?,3
Saya memerlukan bantuan untuk menyetrika setumpuk cucian. Bisakah Anda segera membantu saya? Bisakah saya mengambil dan mengembalikan pakaian yang sudah disetrika?,3
Saya ingin berhati-hati saat menyetrika. Bisakah Anda menjaminnya?,3
Bisakah Anda memberikan layanan menyetrika dengan harga terjangkau?,3
Saya membutuhkan seseorang untuk menyetrika pakaian saya secara teratur. Bisakah Anda menyediakan layanan ini?,3
Bisakah Anda menyetrika pakaian dalam jumlah banyak dalam waktu singkat?,3
Saya ingin Anda membantu saya menyetrika pakaian keluarga saya. Bisakah Anda menerima pekerjaan seperti itu?,3
Apakah Anda memiliki layanan khusus untuk menyetrika pakaian formal?,3
"Saya ingin menyewa jasa Anda untuk menyetrika pakaian anak-anak, apakah Anda memiliki pengalaman dengan jenis pakaian tersebut?",3
Dapatkah Anda melakukan penyetrikaan untuk pakaian dengan detil yang rumit seperti dress atau blus?,3
Bisakah Anda menawarkan layanan express untuk menyetrika pakaian dalam waktu singkat?,3
"Saya membutuhkan bantuan dalam menyetrika pakaian yang terbuat dari kain sensitive, apakah Anda terbiasa menanganinya?",3
Apakah Anda menggunakan produk atau perlengkapan tertentu yang membantu dalam menyetrika pakaian dengan hasil yang baik?,3
"Saya ingin memesan layanan menyetrika untuk pakaian rumah tangga, apakah Anda menerima pekerjaan semacam itu?",3
Bisakah Anda menyetrika pakaian dengan permintaan khusus seperti lipatan tertentu,3
Saya ingin menyewa jasa Anda untuk menyetrika pakaian kerja,3
Apakah Anda dapat memberikan estimasi waktu seberapa cepat pakaian saya akan selesai disetrika,3
Dapatkah Anda menawarkan layanan pembersihan dan penyetrikaan untuk pakaian saya secara bersamaan?,3
"Saya ingin memesan layanan penyetrikaan untuk pakaian liburan, apakah Anda tersedia pada periode tersebut?",3
Bisakah Anda menyetrika pakaian dengan tingkat kelembaban khusus?,3
